
dataset,model,oversampling,mean_acc_cv,std_acc_cv,best_acc,train_full_acc_score,test_acc_score,auc_score
PCA,Bagging KNN,False,0.9925395608047651,0.0036895597302269586,0.9925395608047651,0.9988698010849909,0.9673168160253031,0.9065218593590133
PCA,Bagging SVM,False,0.9868890763606615,0.0015390659070455852,0.9868890763606615,0.989376130198915,0.9636267791249341,0.9159036017081036
PCA,Bagging MLP,False,0.981010813712708,0.0044968781633982005,0.981010813712708,0.9821428571428571,0.9715340010542962,0.9408373326597625
PCA,Boosting DTREE,False,0.9911838842447018,0.0015032815353587913,0.9911838842447018,1.0,0.9820769636267791,0.9548924012015395
PCA,Boosting SVM,False,0.8933093028606489,0.0005357357090808131,0.8933093028606489,0.8933092224231465,0.8929889298892989,
PCA,Stacking SVM,False,0.9902791625124626,0.0038261423636248276,0.9902791625124626,1.0,0.9768054823405377,0.9393193013882669
Baseline,Decision Tree,True,0.9989879022249978,0.0008579443570391589,0.9989879022249978,0.999746963562753,0.9968371112282551,0.9856459330143541
Baseline,KNN,True,0.9969636266103011,0.0010880644510469061,0.9969636266103011,0.9998734817813765,0.9910384818133896,0.9699466508595139
Baseline,LVQ,True,0.9806422789614008,0.004413517852954654,0.9806422789614008,0.9808957489878543,0.9710068529256721,0.8959135427220531
Baseline,SVM,True,0.9965841199689349,0.001302202400536425,0.9965841199689349,0.9998734817813765,0.9915656299420137,0.9685928317330746
Baseline,MLP,True,0.9901321868069399,0.0038900516636773573,0.9901321868069399,0.99709008097166,0.9942013705851345,0.9779786603438057
Baseline,Bagging LVQ,True,0.9731782480244038,0.004337457099962703,0.9731782480244038,0.9736842105263158,0.9578281497100686,0.8591211990416124
Baseline,Bagging KNN,True,0.9959512886412221,0.001302918240390242,0.9959512886412221,0.9996204453441295,0.9905113336847654,0.9642244835881978
Baseline,Bagging SVM,True,0.9894989551557659,0.001630080554579785,0.9894989551557659,0.989752024291498,0.9831312598840274,0.9331759140805546
Baseline,Bagging MLP,True,0.9883602751022826,0.0014756510639020776,0.9883602751022826,0.989498987854251,0.9831312598840274,0.9331759140805546
Baseline,Boosting DTREE,True,0.9989878221603055,0.0006451001409719336,0.9989878221603055,1.0,0.9968371112282551,0.9876268473258439
