dataset,model,oversampling,mean_acc_cv,std_acc_cv,best_acc,train_full_acc_score,test_acc_score,auc_score,cv_scores
Baseline,Stacking SVM,False,0.9972873686632411,0.0005544976235127516,0.9972873686632411,1.0,0.9968371112282551,0.9876268473258439,[0.99774011 0.99774011 0.99661017 0.99774011 0.99660633]
Manual,Decision Tree,False,0.981011324999361,0.003948641497280211,0.981011324999361,0.9850813743218807,0.9810226673695308,0.9376595316233177,[0.98531073 0.98531073 0.98079096 0.97853107 0.97511312]
Manual,KNN,False,0.9798826597131681,0.003739738374643891,0.9798826597131681,0.989376130198915,0.9762783342119136,0.9295289342018315,[0.97288136 0.98305085 0.97966102 0.98305085 0.98076923]
Manual,LVQ,False,0.9796556484392974,0.002267950889873983,0.9796556484392974,0.9794303797468354,0.9810226673695308,0.9295354505438539,[0.98079096 0.98305085 0.97966102 0.97853107 0.97624434]
Manual,SVM,False,0.9812380806299051,0.0025419227215964504,0.9812380806299051,0.9814647377938517,0.9831312598840274,0.935781942131884,[0.98305085 0.98531073 0.97966102 0.97966102 0.97850679]
Manual,MLP,False,0.9805603701715366,0.0028955190130652035,0.9805603701715366,0.9810126582278481,0.9841855561412757,0.936929317181418,[0.98079096 0.98531073 0.97627119 0.98079096 0.97963801]
Manual,Random Forest,False,0.9812378249865787,0.003249614404981694,0.9812378249865787,0.9990958408679927,0.9736425935687928,0.9294931672720982,[0.98305085 0.98644068 0.97853107 0.98079096 0.97737557]
Manual,Bagging LVQ,False,0.9749088631541273,0.0037462019110739,0.9749088631541273,0.9776220614828209,0.9799683711122825,0.9296222532907753,[0.9740113  0.97175141 0.9819209  0.97514124 0.97171946]
Manual,Bagging KNN,False,0.9782986936626019,0.0033946742843375846,0.9782986936626019,0.9839511754068716,0.9783869267264101,0.9347960084628583,[0.98079096 0.98079096 0.97853107 0.97966102 0.97171946]
Manual,Bagging SVM,False,0.9807861032287752,0.0025809424603158307,0.9807861032287752,0.98123869801085,0.9841855561412757,0.936929317181418,[0.9819209  0.98531073 0.97853107 0.97966102 0.97850679]
Manual,Bagging MLP,False,0.9789779379809291,0.0015380318379403578,0.9789779379809291,0.9803345388788427,0.9799683711122825,0.9336682901543214,[0.97740113 0.98079096 0.97853107 0.98079096 0.97737557]
Manual,Boosting DTREE,False,0.979655904082624,0.005204881049734919,0.979655904082624,1.0,0.974169741697417,0.9300924942442285,[0.97740113 0.98983051 0.97514124 0.97853107 0.97737557]
Manual,Boosting SVM,False,0.8933093028606489,0.0005357357090808131,0.8933093028606489,0.8933092224231465,0.8929889298892989,,[0.89378531 0.89378531 0.89265537 0.89265537 0.89366516]
Manual,Stacking SVM,False,0.979655392795971,0.002586538688858585,0.979655392795971,0.9853074141048824,0.9757511860832894,0.9349622326010495,[0.98079096 0.9819209  0.97853107 0.9819209  0.97511312]
PCA,Decision Tree,False,0.985080655469489,0.003309851969344927,0.985080655469489,0.9995479204339964,0.9625724828676858,0.9098515395894428,[0.98870056 0.98531073 0.98079096 0.98870056 0.98190045]
PCA,KNN,False,0.9925393051614388,0.0034028658502253755,0.9925393051614388,1.0,0.959409594095941,0.8931890830756403,[0.99661017 0.9920904  0.99435028 0.99322034 0.98642534]
PCA,LVQ,False,0.9697085666078686,0.005189149750638488,0.9697085666078686,0.9701627486437613,0.9462308908803374,0.9394074714299434,[0.97175141 0.96949153 0.97627119 0.97062147 0.96040724]
PCA,SVM,False,0.9927660607919829,0.0020989608666232575,0.9927660607919829,0.9963833634719711,0.9478123352662098,0.84610686095932,[0.99435028 0.99096045 0.99548023 0.99322034 0.989819  ]
PCA,MLP,False,0.986211877188946,0.0028030917126045727,0.986211877188946,0.9966094032549728,0.9736425935687928,0.9264977663892605,[0.98418079 0.98983051 0.98757062 0.9819209  0.98755656]
PCA,Random Forest,False,0.9862103433289875,0.003155149934810974,0.9862103433289875,0.9981916817359855,0.9799683711122825,0.9529202747088683,[0.98644068 0.98870056 0.98983051 0.98531073 0.98076923]
PCA,Bagging LVQ,False,0.9405506557251323,0.00478418611904531,0.9405506557251323,0.9475587703435805,0.9277807063784923,0.9308614410821122,[0.93559322 0.94689266 0.93785311 0.94576271 0.93665158]
PCA,Bagging KNN,False,0.9925395608047651,0.0036895597302269586,0.9925395608047651,0.9988698010849909,0.9673168160253031,0.9065218593590133,[0.99774011 0.98983051 0.99548023 0.9920904  0.98755656]
PCA,Bagging SVM,False,0.9868890763606615,0.0015390659070455852,0.9868890763606615,0.989376130198915,0.9636267791249341,0.9159036017081036,[0.98757062 0.98644068 0.98757062 0.98870056 0.9841629 ]
PCA,Bagging MLP,False,0.981010813712708,0.0044968781633982005,0.981010813712708,0.9821428571428571,0.9715340010542962,0.9408373326597625,[0.98079096 0.98305085 0.98644068 0.9819209  0.97285068]
PCA,Boosting DTREE,False,0.9911838842447018,0.0015032815353587913,0.9911838842447018,1.0,0.9820769636267791,0.9548924012015395,[0.99096045 0.9920904  0.99096045 0.99322034 0.98868778]
PCA,Boosting SVM,False,0.8933093028606489,0.0005357357090808131,0.8933093028606489,0.8933092224231465,0.8929889298892989,,[0.89378531 0.89378531 0.89265537 0.89265537 0.89366516]
PCA,Stacking SVM,False,0.9914080834419817,0.005751886016476318,0.9914080834419817,0.9970614828209765,0.9762783342119136,0.94568106010618,[0.99774011 0.99096045 0.99435028 0.99322034 0.98076923]
Baseline,Decision Tree,True,0.9984818933698427,0.001901707998013927,0.9984818933698427,0.999746963562753,0.9968371112282551,0.9856459330143541,[0.99493991 1.         1.         0.99810247 0.99936709]
Baseline,KNN,True,0.9967106221827237,0.0010117776904658038,0.9967106221827237,1.0,0.9910384818133896,0.9699466508595139,[0.99746996 0.99746996 0.99620493 0.99493991 0.99746835]
Baseline,LVQ,True,0.9814015324382102,0.0032171222756570608,0.9814015324382102,0.9817813765182186,0.974169741697417,0.9036964177292046,[0.98355471 0.97912713 0.97849462 0.98671727 0.97911392]
Baseline,SVM,True,0.9967105421180313,0.0015698191334733301,0.9967105421180313,0.9998734817813765,0.9899841855561413,0.9654974525502492,[0.99746996 0.99810247 0.99746996 0.99367489 0.99683544]
Baseline,MLP,True,0.9901316263540941,0.0037653132618209397,0.9901316263540941,0.9956983805668016,0.9915656299420137,0.9651401689708141,[0.98481973 0.99557242 0.98734978 0.99240987 0.99050633]
Baseline,Random Forest,True,0.9953187775722785,0.0010279461408741403,0.9953187775722785,0.9991143724696356,0.9910384818133896,0.9630049559862522,[0.99557242 0.99557242 0.99683744 0.99367489 0.99493671]
Baseline,Bagging LVQ,True,0.9801369906884764,0.00213653689101545,0.9801369906884764,0.9805161943319838,0.9768054823405377,0.9140319622346503,[0.97975965 0.97975965 0.97659709 0.98165718 0.98291139]
Baseline,Bagging KNN,True,0.9958247864274334,0.001580371599352885,0.9958247864274334,0.9996204453441295,0.9905113336847654,0.9642244835881978,[0.99873498 0.99620493 0.99493991 0.9943074  0.99493671]
Baseline,Bagging SVM,True,0.9893723728772847,0.0016693366916286242,0.9893723728772847,0.990005060728745,0.9836584080126516,0.9350445272859066,[0.98924731 0.99240987 0.98924731 0.98734978 0.98860759]
Baseline,Bagging MLP,True,0.988233532694417,0.001773172073617261,0.988233532694417,0.988992914979757,0.9836584080126516,0.9350445272859066,[0.98734978 0.99114485 0.98924731 0.98734978 0.98607595]
Baseline,Boosting DTREE,True,0.9987348977974204,0.0013267282511173946,0.9987348977974204,0.9998734817813765,0.9968371112282551,0.9856459330143541,[0.99683744 1.         1.         0.99746996 0.99936709]
Baseline,Boosting SVM,True,0.6183395383469843,0.17792976236623964,0.6183395383469843,0.9717864372469636,0.9783869267264101,0.9305130915596032,[0.53194181 0.52371917 0.53763441 0.52435168 0.97405063]
Baseline,Stacking SVM,True,0.9984818933698427,0.0012394063085047623,0.9984818933698427,0.999746963562753,0.9957828149710068,0.981042654028436,[0.99620493 0.99936749 0.99936749 0.99810247 0.99936709]
Manual,Decision Tree,True,0.989625537434247,0.00245283814065444,0.989625537434247,0.9911437246963563,0.9804955192409067,0.9342503697727579,[0.98608476 0.99367489 0.98987982 0.9886148  0.98987342]
Manual,KNN,True,0.988613519723937,0.0019993669028231503,0.988613519723937,0.9915232793522267,0.981549815498155,0.9340453758281566,[0.98734978 0.99177736 0.98798229 0.98608476 0.98987342]
Manual,LVQ,True,0.9876010216254734,0.0017268129204814089,0.9876010216254734,0.9873481781376519,0.9826041117554033,0.9313232701687301,[0.98608476 0.99051233 0.9886148  0.98671727 0.98607595]
Manual,SVM,True,0.9883601950375904,0.0019849288690074597,0.9883601950375904,0.9886133603238867,0.9841855561412757,0.936929317181418,[0.98608476 0.99177736 0.98924731 0.98734978 0.98734177]
Manual,MLP,True,0.9883601950375904,0.0019442002247928888,0.9883601950375904,0.9887398785425101,0.9836584080126516,0.9350445272859066,[0.98671727 0.99177736 0.98924731 0.98671727 0.98734177]
Manual,Random Forest,True,0.9892461108575731,0.001648467463118634,0.9892461108575731,0.9958248987854251,0.981549815498155,0.9340453758281566,[0.98734978 0.99177736 0.9886148  0.98798229 0.99050633]
Manual,Bagging LVQ,True,0.9874745194116847,0.0018518952176303507,0.9874745194116847,0.9874746963562753,0.9826041117554033,0.9313232701687301,[0.98545225 0.99051233 0.9886148  0.98671727 0.98607595]
